Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,17 dez 2023,00:00,17 dez 2023,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,18 dez 2023,00:00,18 dez 2023,23:59,81.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,19 dez 2023,00:00,19 dez 2023,23:59,46.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,20 dez 2023,00:00,20 dez 2023,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,21 dez 2023,00:00,21 dez 2023,23:59,62.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,26 dez 2023,00:00,26 dez 2023,23:59,81.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,27 dez 2023,00:00,27 dez 2023,23:59,83.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,28 dez 2023,00:00,28 dez 2023,23:59,82.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,29 dez 2023,00:00,29 dez 2023,23:59,82.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,3 jan 2024,00:00,3 jan 2024,23:59,82.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,4 jan 2024,00:00,4 jan 2024,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,5 jan 2024,00:00,5 jan 2024,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,6 jan 2024,00:00,6 jan 2024,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,8 jan 2024,00:00,8 jan 2024,23:59,83.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,9 jan 2024,00:00,9 jan 2024,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,10 jan 2024,00:00,10 jan 2024,23:59,83.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,11 jan 2024,00:00,11 jan 2024,23:59,56.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,12 jan 2024,00:00,12 jan 2024,23:59,83.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,15 jan 2024,00:00,15 jan 2024,23:59,80.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,16 jan 2024,00:00,16 jan 2024,23:59,79.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,17 jan 2024,00:00,17 jan 2024,23:59,79.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,18 jan 2024,00:00,18 jan 2024,23:59,80.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,19 jan 2024,00:00,19 jan 2024,23:59,81.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,20 jan 2024,00:00,20 jan 2024,23:59,81.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,22 jan 2024,00:00,22 jan 2024,23:59,80.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,23 jan 2024,00:00,23 jan 2024,23:59,82.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,24 jan 2024,00:00,24 jan 2024,23:59,81.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,25 jan 2024,00:00,25 jan 2024,23:59,80.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,26 jan 2024,00:00,26 jan 2024,23:59,81.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,27 jan 2024,00:00,27 jan 2024,23:59,83.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,28 jan 2024,00:00,28 jan 2024,23:59,83.5,C
